Logical Address,Physical Address
22040,63768
30049,41057
28967,6695
53714,56018
24540,17628
33205,32437
42021,43045
34129,6225
48732,52316
36854,39926
36124,45852
24266,202
10353,57713
5361,24561
6271,59519
20340,47732
31578,39258
24123,59
36541,23485
11155,43667
51235,45347
32412,54428
25591,40439
277,26389
6859,46539
3762,24754
55991,51639
24035,48867
8749,20525
58251,34187
62014,36158
58228,34164
58881,17921
29970,40978
9997,5901
61854,7838
56894,33598
58292,34228
18487,20023
14162,43346
1466,62394
5560,42424
61767,7751
42046,43070
63189,49109
9626,12698
42342,26982
59741,12125
63766,63510
10569,32585
44507,36571

Page Fault Rate: 25%
TLB Hit Rate: 46.4%
